"state","puma12","county14","stab","cntyname2","PUMAname","pop10","afact"
"51","51135","51183","VA","Sussex VA","Crater Planning District Commission",12087,0.07 
"51","51135","51570","VA","Colonial Heights city VA","Crater Planning District Commission",17411,0.1 
"51","51135","51595","VA","Emporia city VA","Crater Planning District Commission",5927,0.034 
"51","51135","51670","VA","Hopewell city VA","Crater Planning District Commission",22591,0.13 
"51","51135","51730","VA","Petersburg city VA","Crater Planning District Commission",32420,0.187 
"51","51145","51093","VA","Isle of Wight VA","Isle of Wight, Southampton Counties, Suffolk & Franklin Cities",35270,0.24 
"51","51145","51175","VA","Southampton VA","Isle of Wight, Southampton Counties, Suffolk & Franklin Cities",18570,0.126 
"51","51145","51620","VA","Franklin city VA","Isle of Wight, Southampton Counties, Suffolk & Franklin Cities",8582,0.058 
"51","51145","51800","VA","Suffolk city VA","Isle of Wight, Southampton Counties, Suffolk & Franklin Cities",84585,0.575 
"51","51154","51710","VA","Norfolk city VA","Norfolk City (Northeast)",208001,1 
"51","51155","51710","VA","Norfolk city VA","Portsmouth & Norfolk (Southwest) Cities",34802,0.267 
"51","51155","51740","VA","Portsmouth city VA","Portsmouth & Norfolk (Southwest) Cities",95535,0.733 
"51","51164","51810","VA","Virginia Beach city VA","Virginia Beach City (North)",141491,1 
"51","51165","51810","VA","Virginia Beach city VA","Virginia Beach City (Central)",170090,1 
"51","51167","51810","VA","Virginia Beach city VA","Virginia Beach City (South)",126413,1 
"51","51175","51700","VA","Newport News city VA","Newport News City",180719,1 
"51","51186","51650","VA","Hampton city VA","Hampton City",137436,1 
"51","51206","51095","VA","James City VA","James City, York Counties, Williamsburg & Poquoson Cities",67009,0.422 
"51","51206","51199","VA","York VA","James City, York Counties, Williamsburg & Poquoson Cities",65464,0.413 
"51","51206","51735","VA","Poquoson city VA","James City, York Counties, Williamsburg & Poquoson Cities",12150,0.077 
"51","51206","51830","VA","Williamsburg city VA","James City, York Counties, Williamsburg & Poquoson Cities",14068,0.089 
"51","51215","51036","VA","Charles City VA","Hanover, Powhatan, Goochland, New Kent, King William & Charles City Counties",7256,0.038 
"51","51215","51075","VA","Goochland VA","Hanover, Powhatan, Goochland, New Kent, King William & Charles City Counties",21717,0.114 
"51","51215","51085","VA","Hanover VA","Hanover, Powhatan, Goochland, New Kent, King William & Charles City Counties",99863,0.522 
"51","51215","51101","VA","King William VA","Hanover, Powhatan, Goochland, New Kent, King William & Charles City Counties",15935,0.083 
"51","51215","51127","VA","New Kent VA","Hanover, Powhatan, Goochland, New Kent, King William & Charles City Counties",18429,0.096 
"51","51215","51145","VA","Powhatan VA","Hanover, Powhatan, Goochland, New Kent, King William & Charles City Counties",28046,0.147 
"51","51224","51087","VA","Henrico VA","Henrico County (South & East)--Highland Springs, East Highland Park & Glen Allen",140398,1 
"51","51225","51087","VA","Henrico VA","Henrico County (West)--Tuckahoe, Short Pump & Wyndham",166537,1 
"51","51235","51760","VA","Richmond city VA","Richmond City",204214,1 
"51","51244","51153","VA","Prince William VA","Prince William County (North & West)--Linton Hall & Gainesville",111334,1 
"51","51245","51153","VA","Prince William VA","Manassas, Manassas Park Cities & Prince William County (Central)--Buckhall & Sudley",62725,0.546 
